Number of Bus,ID,Name of Bus,Area Name of Gen,Zone Name of Gen,Latitude of Bus,Longitude of Bus,Status,Set Volt,Nom kV of Bus,Min MW,Gen MW,Max MW,Min Mvar,Gen Mvar,Max Mvar,Fuel Type,Unit Type,IOB,IOC,Part. Factor
1164,1,BROOKHAVEN,NewYork,UNKNOWN124589,40.855344175,-72.849690432,1,MORTIMER,138,0,60.9,31.5,-17.299999,2.36174403,22.1,solar,PV (Photovoltaic),0,0,0
1169,2,UNKNOWN141045,NewYork,UNKNOWN124589,40.949326,-72.900108,1,MORTIMER,69,0,24.9,24.9,-13.699999,-13.172943,17.4,solar,PV (Photovoltaic),0,0,0
1170,3,UNKNOWN141047,NewYork,UNKNOWN124589,40.8919670400001,-72.7725595919999,1,MORTIMER,138,0,20,20,-11,14,14,solar,PV (Photovoltaic),0,0,0
1172,4,TAP141050,NewYork,UNKNOWN124589,42.0380229,-76.529352966,1,MORTIMER,115,0,16,16,-8.8,11.2,11.2,solar,PV (Photovoltaic),0,0,0
1173,5,TAP141051,NewYork,UNKNOWN124589,42.4420090030001,-76.472651879,1,MORTIMER,115,0,18,18,-9.9,12.6,12.6,solar,PV (Photovoltaic),0,0,0
512,6,UNKNOWN128280,NewYork,UNKNOWN124589,42.2350074220001,-73.867901923,1,MORTIMER,115,0,600,600,-9900,-41.0916574,9900,solar,PV,0,0,0
639,7,NORTH CATSKILL,NewYork,UNKNOWN124589,42.2344157420001,-73.8681684219999,1,MORTIMER,69,0,75,75,-9900,-24.9675678,9900,solar,PV,0,0,0
651,8,PLEASANT VALLEY,NewYork,UNKNOWN124589,41.7394248590001,-73.83482345,1,MORTIMER,345,0,100,100,-9900,474.211105,9900,solar,PV,0,0,0
800,9,NEW SCOTLAND,NewYork,UNKNOWN124589,42.6091855540001,-73.904199589,1,MORTIMER,345,0,375,375,-9900,801.273547,9900,solar,PV,0,0,0
1247,10,ROBINSON ROAD,NewYork,UNKNOWN124589,43.1372554650001,-78.715212848,1,MORTIMER,230,0,197.06,497,-9900,20.1604386,9900,solar,PV,0,0,0
1249,11,SOMERSET,NewYork,UNKNOWN124589,43.352359076,-78.608689452,1,MORTIMER,345,0,300,300,-9900,62.0396676,9900,solar,PV,0,0,0
1299,12,DYSINGER,NewYork,UNKNOWN124589,43.1458192980001,-78.538588347,1,MORTIMER,345,0,900.07,900.07,-9900,99.6409526,9900,solar,PV,0,0,0
