Number of Bus,ID,Name of Bus,Area Name of Gen,Zone Name of Gen,Latitude of Bus,Longitude of Bus,Status,Set Volt,Nom kV of Bus,Min MW,Gen MW,Max MW,Min Mvar,Gen Mvar,Max Mvar,Fuel Type,Unit Type,IOB,IOC,Part. Factor
30,1,UNKNOWN124195,NewYork,UNKNOWN124589,42.3048485210001,-77.555069476,1,MORTIMER,115,0,4.1,4.1,-2.3,1.48140284,2.7,wind,WT (Wind Turbine),0,0,0
30,2,UNKNOWN124195,NewYork,UNKNOWN124589,42.3048485210001,-77.555069476,1,MORTIMER,115,0,55.4,55.4,-30.500001,19.7926575,36,wind,WT (Wind Turbine),0,0,0
38,3,BLISS WINDPARK,NewYork,UNKNOWN124589,42.5319099290001,-78.306387526,1,MORTIMER,115,0,100.5,100.5,-55.299997,-9.78426192,70.4,wind,WT (Wind Turbine),0,0,0
39,4,UNKNOWN124224,NewYork,UNKNOWN124589,42.669848545,-78.2280139119999,1,MORTIMER,230,0,126,126,-69.300002,-8.54791208,88.2,wind,WT (Wind Turbine),0,0,0
52,5,UNKNOWN124252,NewYork,UNKNOWN124589,42.189664082,-77.544241991,1,MORTIMER,115,0,16.2,16.2,-8.9,1.50266551,11.3,wind,WT (Wind Turbine),0,0,0
53,6,UNKNOWN124253,NewYork,UNKNOWN124589,42.576348991,-77.4575041969999,1,MORTIMER,115,0,37.5,37.5,-20.6,6.61104527,26.3,wind,WT (Wind Turbine),0,0,0
82,7,UNKNOWN124526,NewYork,UNKNOWN124589,42.895960632,-75.44949523,1,MORTIMER,115,0,34.5,34.5,-19,2.44760082,24.2,wind,WT (Wind Turbine),0,0,0
161,8,UNKNOWN124943,NewYork,UNKNOWN124589,42.8182887250001,-78.852115151,1,MORTIMER,115,0,20,20,-11,14,14,wind,WT (Wind Turbine),0,0,0
368,9,FENNER,NewYork,UNKNOWN124589,42.9807262540001,-75.743338073,1,MORTIMER,115,0,30,30,-16.500001,21,21,wind,WT (Wind Turbine),0,0,0
395,10,UNKNOWN125628,NewYork,UNKNOWN124589,43.758533259,-75.5420742219999,1,MORTIMER,230,0,33,33,-18.2,-6.54860791,23.1,wind,WT (Wind Turbine),0,0,0
395,11,UNKNOWN125628,NewYork,UNKNOWN124589,43.758533259,-75.5420742219999,1,MORTIMER,230,0,61,61,-33.6,-12.0745468,42.7,wind,WT (Wind Turbine),0,0,0
