name_NY,lat_NY,lon_NY,name_NREL,lat_NREL,lon_NREL,capacity_NY
BROOKHAVEN,40.85534418,-72.84969043,Long_Island_Solar_Farm_LLC,40.86572,-72.850242,31.5
UNKNOWN141045,40.949326,-72.900108,Leavenworth_Greenworks_LLC,40.942311,-72.890291,24.9
UNKNOWN141047,40.89196704,-72.77255959,Calverton_Solar_Energy_Center,40.906487,-72.743433,20
TAP141050,42.0380229,-76.52935297,Vulcraft_Solar,42.005874,-76.61935,16
TAP141051,42.442009,-76.47265188,311_Douglas_Road,42.453281,-76.473712,18
UNKNOWN128280,42.23500742,-73.86790192,Flint_Mine_Solar,42.322371,-73.841342,600
NORTH CATSKILL,42.23441574,-73.86816842,Flint_Mine_Solar,42.322371,-73.841342,75
PLEASANT VALLEY,41.73942486,-73.83482345,Millbrook_School,41.84581,-73.61949,100
NEW SCOTLAND,42.60918555,-73.90419959,Bethlehem_Solar,42.601145,-73.88742,375
ROBINSON ROAD,43.13725547,-78.71521285,Bear_Ridge_Solar,43.102145,-78.747459,497
SOMERSET,43.35235908,-78.60868945,Niagara_Dolomite_Solar,43.31195,-78.74762,300
DYSINGER,43.1458193,-78.53858835,Bear_Ridge_Solar,43.102145,-78.747459,900.07
